area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,price
3480,3,1,2,no,no,no,no,no,1,no,semi-furnished,2940000
2700,2,1,1,no,no,no,no,no,0,no,furnished,2940000
3150,3,1,2,no,no,no,no,no,0,no,unfurnished,2940000
6615,3,1,2,yes,no,no,no,no,0,no,semi-furnished,2940000
3040,2,1,1,no,no,no,no,no,0,no,unfurnished,2870000
3630,2,1,1,yes,no,no,no,no,0,no,unfurnished,2870000
6000,2,1,1,yes,no,no,no,no,0,no,semi-furnished,2870000
5400,4,1,2,yes,no,no,no,no,0,no,unfurnished,2870000
5200,4,1,3,yes,no,no,no,no,0,no,unfurnished,2852500
3300,3,1,2,no,no,no,no,no,1,no,semi-furnished,2835000
4350,3,1,2,no,no,no,yes,no,1,no,unfurnished,2835000
2640,2,1,1,no,no,no,no,no,1,no,furnished,2835000
2650,3,1,2,yes,no,yes,no,no,1,no,unfurnished,2800000
3960,3,1,1,yes,no,no,no,no,0,no,furnished,2800000
6800,2,1,1,yes,no,no,no,no,0,no,unfurnished,2730000
4000,3,1,2,yes,no,no,no,no,1,no,unfurnished,2730000
4000,2,1,1,yes,no,no,no,no,0,no,unfurnished,2695000
3934,2,1,1,yes,no,no,no,no,0,no,unfurnished,2660000
2000,2,1,2,yes,no,no,no,no,0,no,semi-furnished,2660000
3630,3,3,2,no,yes,no,no,no,0,no,unfurnished,2660000
2800,3,1,1,yes,no,no,no,no,0,no,unfurnished,2660000
2430,3,1,1,no,no,no,no,no,0,no,unfurnished,2660000
3480,2,1,1,yes,no,no,no,no,1,no,semi-furnished,2660000
4000,3,1,1,yes,no,no,no,no,0,no,semi-furnished,2660000
3185,2,1,1,yes,no,no,no,yes,0,no,unfurnished,2653000
4000,3,1,2,yes,no,no,no,yes,0,no,unfurnished,2653000
2910,2,1,1,no,no,no,no,no,0,no,unfurnished,2604000
3600,2,1,1,yes,no,no,no,no,0,no,unfurnished,2590000
4400,2,1,1,yes,no,no,no,no,0,no,unfurnished,2590000
3600,2,2,2,yes,no,yes,no,no,1,no,furnished,2590000
2880,3,1,1,no,no,no,no,no,0,no,unfurnished,2520000
3180,3,1,1,no,no,no,no,no,0,no,unfurnished,2520000
3000,2,1,2,yes,no,no,no,no,0,no,furnished,2520000
4400,3,1,2,yes,no,no,no,no,0,no,unfurnished,2485000
3000,3,1,2,no,no,no,no,no,0,no,semi-furnished,2485000
3210,3,1,2,yes,no,yes,no,no,0,no,unfurnished,2450000
3240,2,1,1,no,yes,no,no,no,1,no,unfurnished,2450000
3000,2,1,1,yes,no,no,no,no,1,no,unfurnished,2450000
3500,2,1,1,yes,yes,no,no,no,0,no,unfurnished,2450000
4840,2,1,2,yes,no,no,no,no,0,no,unfurnished,2450000
7700,2,1,1,yes,no,no,no,no,0,no,unfurnished,2450000
3635,2,1,1,no,no,no,no,no,0,no,unfurnished,2408000
2475,3,1,2,yes,no,no,no,no,0,no,furnished,2380000
2787,4,2,2,yes,no,no,no,no,0,no,furnished,2380000
3264,2,1,1,yes,no,no,no,no,0,no,unfurnished,2380000
3640,2,1,1,yes,no,no,no,no,0,no,unfurnished,2345000
3180,2,1,1,yes,no,no,no,no,0,no,unfurnished,2310000
1836,2,1,1,no,no,yes,no,no,0,no,semi-furnished,2275000
3970,1,1,1,no,no,no,no,no,0,no,unfurnished,2275000
3970,3,1,2,yes,no,yes,no,no,0,no,unfurnished,2275000
1950,3,1,1,no,no,no,yes,no,0,no,unfurnished,2240000
5300,3,1,1,no,no,no,no,yes,0,yes,unfurnished,2233000
3000,2,1,1,no,no,no,no,no,0,no,unfurnished,2135000
2400,3,1,2,yes,no,no,no,no,0,no,unfurnished,2100000
3000,4,1,2,yes,no,no,no,no,0,no,unfurnished,2100000
3360,2,1,1,yes,no,no,no,no,1,no,unfurnished,2100000
3420,5,1,2,no,no,no,no,no,0,no,unfurnished,1960000
1700,3,1,2,yes,no,no,no,no,0,no,unfurnished,1890000
3649,2,1,1,yes,no,no,no,no,0,no,unfurnished,1890000
2990,2,1,1,no,no,no,no,no,1,no,unfurnished,1855000
3000,2,1,1,yes,no,yes,no,no,2,no,unfurnished,1820000
2400,3,1,1,no,no,no,no,no,0,no,semi-furnished,1767150
3620,2,1,1,yes,no,no,no,no,0,no,unfurnished,1750000
2910,3,1,1,no,no,no,no,no,0,no,furnished,1750000
3850,3,1,2,yes,no,no,no,no,0,no,unfurnished,1750000
